model,category,extracted,n_words,raw_reply,is_novel
wizardlm-2-8x22b,metal,zinc,3,Copper ASSISTANT: Zinc,True
gemma-3-27b-it,color,blue,2,thought Blue,False
gemma-3-27b-it,sport,tennis,2,thought Tennis,False
gemma-3-27b-it,tree,oak,2,thought Oak,False
grok-4.3,color,blue,2,Blue \confidence{100},False
grok-4.3,gemstone,emerald,2,Emerald  \confidence{80},False
grok-4.3,insect,ant,2,Ant  \confidence{100},False
grok-4.3,language,french,2,French \,False
grok-4.3,metal,iron,2,Iron  \confidence{90},False
hermes-4-70b,dessert,brulee,2,Creme brulee.,True
hunyuan-a13b-instruct,dessert,cake,2,Chocolate cake,False
hunyuan-a13b-instruct,dessert,cake,2,Chocolate cake,False
hunyuan-a13b-instruct,dessert,cake,2,Chocolate cake,False
